image_id,image_location,turtle_id
ID_009TNNQ8,left,t_id_Kf73l69A
ID_010JDNBL,right,t_id_GrxmyS59
ID_01L54J3D,left,t_id_d6aYXtor
ID_02445SY2,top,t_id_GrxmyS59
ID_026RZIZ9,right,t_id_hRzOoJ2t
ID_04LIX78Y,left,t_id_dhdJMT1K
ID_05OAB9HN,top,t_id_fjHGjp1w
ID_08R685XU,left,t_id_m2JvEcsg
ID_08VEIX80,top,t_id_Ts5LyVQz
ID_092X1NP4,left,t_id_fxTQ5vHC
ID_0B15SK84,right,t_id_AOWArhGb
ID_0D2ZJPGL,right,t_id_uJXT7dGu
ID_0DOWCQVL,top,t_id_stWei2Uq
ID_0E36WAY8,right,t_id_2QmcRkNj
ID_0F3ODH2R,left,t_id_8b8sprYe
ID_0FP7W8WI,right,t_id_Ts5LyVQz
ID_0FX6ODC0,left,t_id_n2FBHk6d
ID_0G8SI7HQ,left,t_id_G5JLzvai
ID_0GMRVK1K,right,t_id_uJXT7dGu
ID_0I5FAS7W,top,t_id_n2FBHk6d
ID_0ILV12LP,right,t_id_3K93fQBS
ID_0INOHY6I,top,t_id_dVQ4x3wz
ID_0J1NXY6D,right,t_id_dVQ4x3wz
ID_0JC13MBA,left,t_id_tjWepji1
ID_0JDDE04I,top,t_id_uIlC9Gfo
ID_0KMB0NN4,left,t_id_MwnEYfqe
ID_0KQJ1TYW,top,t_id_72SiiZCp
ID_0LHYKDEU,top,t_id_g9Fz8PH7
ID_0MGFWAOV,left,t_id_GOIvCduN
ID_0N6POAB2,left,t_id_8b8sprYe
ID_0NFH1PZ6,top,t_id_ksTLswDT
ID_0OAKNJBQ,right,t_id_e9i3Lbq4
ID_0R6UOFUQ,left,t_id_hRzOoJ2t
ID_0S3VQPSJ,left,t_id_72SiiZCp
ID_0S4IF2K2,top,t_id_8b8sprYe
ID_0S8W21AW,top,t_id_0g31STvR
ID_0SYENLY6,left,t_id_Ts5LyVQz
ID_0TNFUYL8,right,t_id_3K93fQBS
ID_0VJ2FLV9,top,t_id_1KIezxkh
ID_0VVR6NIJ,right,t_id_AMnriNb5
ID_0WB4N789,left,t_id_IlO9BOKc
ID_0WG9U1GO,top,t_id_15bo4NKD
ID_0XJG7PXU,right,t_id_a4VYrmyA
ID_0XWII0XC,top,t_id_tjWepji1
ID_0Y7QBGIB,top,t_id_4ZfTUmwL
ID_0Y7REA36,left,t_id_G5eoqwD8
ID_0YAZWB2L,left,t_id_stWei2Uq
ID_0YJ5D3IF,left,t_id_ROFhVsy2
ID_0ZZ13T2Q,left,t_id_Kf73l69A
ID_10EJKPAF,left,t_id_uIlC9Gfo
ID_10HIRN6W,top,t_id_qZ0iZYsC
ID_10S4M153,top,t_id_IlO9BOKc
ID_11D03T8G,top,t_id_fjHGjp1w
ID_11TL3SYA,left,t_id_ROFhVsy2
ID_12TAY32Q,top,t_id_D0gA44av
ID_14F3K393,top,t_id_AOWArhGb
ID_14NTXGCE,left,t_id_JI6ba2Yx
ID_17IHS7MU,top,t_id_AOWArhGb
ID_184JGJF5,top,t_id_KysHzQQK
ID_19M73WWV,right,t_id_tjWepji1
ID_19YCCES6,right,t_id_ROFhVsy2
ID_1BGNVTGM,right,t_id_HxxqrdTx
ID_1BI2BZ0J,right,t_id_HcnnlRda
ID_1BWWORQD,left,t_id_8b8sprYe
ID_1D4KU714,top,t_id_niEvmwXu
