image_id,image_location,turtle_id
ID_Y0KYE5XD,left,t_id_he7JTQxO
ID_8JTIQ4UI,top,t_id_he7JTQxO
ID_LSXPZYSN,left,t_id_he7JTQxO
ID_SHZ2HDSP,left,t_id_he7JTQxO
ID_6TOFB06E,top,t_id_xry0Yg2j
ID_S4UE5U6O,right,t_id_xry0Yg2j
ID_JJIFQ5KY,left,t_id_xry0Yg2j
ID_A5VJ0BYZ,right,t_id_xry0Yg2j
ID_2XUE5CLL,right,t_id_SwQZGIpa
ID_Y2OPZMDL,left,t_id_SwQZGIpa
ID_X8AH3XRC,right,t_id_SwQZGIpa
ID_L2Q2NYKZ,right,t_id_SwQZGIpa
ID_VH55LNVA,top,t_id_SwQZGIpa
ID_H4NQYY1O,top,t_id_SwQZGIpa
ID_2QJVLVCN,top,t_id_SwQZGIpa
ID_YEP1IBM1,top,t_id_SwQZGIpa
ID_SMFK3L5Y,left,t_id_SwQZGIpa
ID_Z8WZ3DIV,top,t_id_SwQZGIpa
ID_M3EYL2XQ,left,t_id_SwQZGIpa
ID_JT0H4H9B,left,t_id_SwQZGIpa
ID_C0E2YOXO,right,t_id_SwQZGIpa
ID_WDR3JEBO,left,t_id_SwQZGIpa
ID_FH9DJEOO,left,t_id_NBRQwrd6
ID_DUG6SA3H,right,t_id_NBRQwrd6
ID_027Q8Y4L,left,t_id_NBRQwrd6
ID_K44DW22Z,right,t_id_NBRQwrd6
ID_MZ8RWYM7,right,t_id_s3XRtjGW
ID_45R7BUIG,top,t_id_s3XRtjGW
ID_SO4V6QIV,left,t_id_s3XRtjGW
ID_JHIR0XAX,right,t_id_s3XRtjGW
ID_G5XGAE57,left,t_id_s3XRtjGW
ID_2ZGGWAE1,top,t_id_s3XRtjGW
ID_MLDKQS38,right,t_id_gnWhZ6RM
ID_NOMWZH4A,right,t_id_gnWhZ6RM
ID_UKONUGZL,right,t_id_gnWhZ6RM
ID_U5UHIU25,right,t_id_gnWhZ6RM
ID_1Z8SWPMQ,top,t_id_gnWhZ6RM
ID_GI31YLWD,left,t_id_gnWhZ6RM
ID_QF170BOA,right,t_id_gnWhZ6RM
ID_X9WUNNW4,right,t_id_gnWhZ6RM
ID_3SBDFOUF,left,t_id_gnWhZ6RM
ID_FXZIMKYI,left,t_id_gnWhZ6RM
ID_5ZBH1XJK,left,t_id_N6e6D5An
ID_3SRSIWF8,top,t_id_N6e6D5An
ID_1QQZ711X,right,t_id_N6e6D5An
ID_CFDD7ZTL,right,t_id_sSZ6Sq0n
ID_L10YC3RW,right,t_id_sSZ6Sq0n
ID_TPHALKWX,left,t_id_sSZ6Sq0n
ID_B8XIYNW6,top,t_id_sSZ6Sq0n
ID_ZW3XI1RH,left,t_id_Fdv0bBEP
ID_QVIWGPC0,left,t_id_Fdv0bBEP
ID_Q3ZESRY8,left,t_id_Fdv0bBEP
ID_3P62MASH,right,t_id_Fdv0bBEP
ID_031OAYHS,right,t_id_Fdv0bBEP
ID_7ZOXIH4G,left,t_id_Fdv0bBEP
ID_SSNHXESB,left,t_id_Fdv0bBEP
ID_NZDQCD88,top,t_id_Fdv0bBEP
ID_NAWB72GM,top,t_id_Fdv0bBEP
ID_8A8NQOKI,right,t_id_8b8sprYe
ID_GI5O97HG,top,t_id_8b8sprYe
ID_YN3O1X43,left,t_id_8b8sprYe
ID_OPIH4QBC,right,t_id_8b8sprYe
ID_ZE24G7ZF,right,t_id_8b8sprYe
ID_DFZDLQ87,left,t_id_8b8sprYe
ID_F6MZXJGX,top,t_id_8b8sprYe
ID_L10YDY8E,right,t_id_8b8sprYe
ID_4K16TX0M,top,t_id_8b8sprYe
ID_BTDA7Q8H,top,t_id_D7NA71la
ID_UNQWGPCX,top,t_id_D7NA71la
ID_N4VUE4DL,top,t_id_v4QBNDgP
ID_ZHHJFI8U,left,t_id_v4QBNDgP
ID_1KJAHLPJ,left,t_id_v4QBNDgP
ID_2LYEHNFY,top,t_id_v4QBNDgP
ID_8DHE6GA8,top,t_id_v4QBNDgP
ID_XTQ36C7H,top,t_id_3fKmnkBS
ID_42XKA7V4,top,t_id_WDCMGvI4
ID_3WA3UZEL,top,t_id_WDCMGvI4
ID_5S6KJ8XJ,left,t_id_WDCMGvI4
ID_H66LRJ5A,top,t_id_WDCMGvI4
ID_9OOSSZXQ,top,t_id_WDCMGvI4
